"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"RNA transport","41/165",0.171442408419956,0.999996211618646,0,0,1.20706803312786,2.12867398779796,"RNU6-1;POM121;RPP30;AAAS;NXT2;POM121C;NUP85;EIF4EBP1;EIF3CL;EIF2B1;RAE1;PAIP1;NUP214;EIF2B4;PRMT5;SEC13;NCBP1;PABPC4;PABPC5;NUP153;THOC2;TRNT1;THOC5;RANGAP1;EIF2S1;EIF1;EIF2S3;DDX39B;EEF1A2;GEMIN4;TACC3;EIF3G;ACIN1;GEMIN7;EIF3F;GEMIN8;EIF3C;EIF3D;EIF4G2;NUP58;EIF3B"
"Basal cell carcinoma","17/63",0.182076583751987,0.999996211618646,0,0,1.34832280758665,2.29663584364924,"GSK3B;CDKN1A;WNT2B;GADD45B;FZD4;PTCH1;FZD6;AXIN1;WNT9B;FZD8;GLI2;BMP4;WNT11;APC;DVL1;DVL2;DVL3"
"Prostate cancer","25/97",0.183951827026364,0.999996211618646,0,0,1.26706506787095,2.14524425502298,"RB1;GSK3B;CDKN1A;HSP90AB1;ARAF;PTEN;PIK3R3;PIK3R1;PIK3CB;IGF1R;HSP90B1;CCND1;PLAU;AKT2;ERBB2;AKT1;EP300;HRAS;CREBBP;HSP90AA1;MAP2K2;CHUK;BAD;ZEB1;ATF4"
"Lysosome","31/123",0.187014719678786,0.999996211618646,0,0,1.22975336892957,2.06176508520142,"CD63;ASAH1;IDUA;AP4E1;CLTA;TCIRG1;LAPTM4B;GGA1;AP3M1;CLN3;CTSO;GGA3;CTSL;HYAL1;CTSK;LAMP2;NEU1;CLTCL1;ATP6V1H;CTSF;CTSD;CTSC;ARSA;GAA;AP3D1;CTNS;MCOLN1;AP4B1;GALNS;GALC;ATP6V0D1"
"Ubiquitin mediated proteolysis","34/137",0.200130074512398,0.999996211618646,0,0,1.20471528308062,1.9381311911911,"ANAPC13;UBE3C;CUL2;KEAP1;UBE2D1;CBLC;KLHL13;RCHY1;ANAPC10;UBE2J1;ANAPC11;UBE2Q2;CDC26;CDC27;FBXO4;UBE2F;UBE2H;MAP3K1;FBXW7;UBE2E1;PIAS2;PML;ITCH;CDC34;UBE2S;UBA3;TRIM37;TRIP12;STUB1;UBE2K;TRIM32;ANAPC2;BIRC3;CUL4B"
"AMPK signaling pathway","30/120",0.205169258913012,0.999996211618646,0,0,1.21640162145307,1.92668284077161,"CRTC2;CAB39;PIK3R3;PPP2R2A;PIK3R1;SLC2A4;PIK3CB;ADIPOR1;IGF1R;GYS1;CCND1;PPP2R1A;PPP2R5E;PPP2R3C;AKT2;EIF4EBP1;AKT1;INSR;PPP2R5B;PPP2R5D;PPP2R3A;EEF2;CPT1B;RAB10;PFKL;G6PC3;PPP2R2D;RPS6KB2;ULK1;FBP1"
"Steroid biosynthesis","6/19",0.209591355822237,0.999996211618646,0,0,1.68311270125224,2.63002444858566,"EBP;NSDHL;SOAT1;SC5D;LSS;TM7SF2"
"Endocytosis","58/244",0.216496329465659,0.999996211618646,0,0,1.13837757932892,1.7419245232466,"ARF1;CBLC;CLTA;AP2A1;ARRB2;IGF1R;ZFYVE27;PSD4;HRAS;GIT1;AP2M1;SH3GLB1;SH3GLB2;USP8;EPS15L1;EPN1;ARFGAP2;EPN2;ACAP3;ACAP1;HGS;PARD3;CHMP4C;STAMBP;STAM2;CHMP7;VPS28;VPS4A;AGAP2;SNX32;VPS26B;SNX4;CYTH2;GRK2;CYTH4;GRK5;CLTCL1;MVB12A;PIP5K1B;EPS15;SNX5;SMAD2;ARFGEF1;HSPA8;VTA1;ARPC4;SNF8;RAB11A;PML;RAB10;ITCH;EHD4;ARPC2;CAPZA1;CAPZA2;CHMP2B;CHMP2A;RAB5A"
"Valine, leucine and isoleucine degradation","13/48",0.219035187240308,0.999996211618646,0,0,1.35481015606802,2.05731023324405,"BCKDHA;ACAD8;MCCC2;HSD17B10;ACADSB;ALDH3A2;ALDH2;IVD;AOX1;ACADM;ACADS;DLD;BCAT2"
"mRNA surveillance pathway","23/91",0.225419744204392,0.999996211618646,0,0,1.23400997102086,1.83841705352929,"CPSF7;CPSF6;RNGTT;NCBP1;CPSF1;PABPC4;PABPC5;CPSF2;PPP2R5B;PPP2R2A;PPP2R5D;PPP2R3A;NXT2;PPP1CA;PPP1CB;NUDT21;DDX39B;PPP2R5E;PPP2R1A;PPP2R3C;PPP2R2D;CSTF1;ACIN1"
"Pyrimidine metabolism","15/57",0.231592438548251,0.999996211618646,0,0,1.30272663714752,1.90559749722108,"CANT1;CAD;NME3;NME4;DCK;UCKL1;DHODH;NT5C3A;UCK1;NME7;CMPK1;ENPP1;UPP1;UMPS;DCTPP1"
"Sulfur relay system","3/8",0.237652276817169,0.999996211618646,0,0,2.18763653265164,3.14351708637444,"MPST;CTU2;TST"
"Arginine and proline metabolism","13/49",0.243143958120392,0.999996211618646,0,0,1.31709242436007,1.86250249252434,"GAMT;CKM;MAOA;NOS3;PYCR1;SAT2;CNDP2;ALDH3A2;ALDH4A1;GATM;ALDH2;CARNS1;SMS"
"Pancreatic cancer","19/75",0.249253886563145,0.999996211618646,0,0,1.23763704222067,1.71942844603767,"RB1;SMAD2;CDKN1A;CHUK;GADD45B;BAD;STAT1;STAT3;ARAF;PIK3R3;PIK3CB;PIK3R1;CCND1;AKT2;ERBB2;RPS6KB2;AKT1;ARHGEF6;BCL2L1"
"VEGF signaling pathway","15/59",0.277606197616901,0.999996211618646,0,0,1.24335289506578,1.59342104731779,"MAP2K2;SPHK2;BAD;NOS3;SPHK1;PIK3R3;PIK3CB;PIK3R1;MAPK12;MAPK11;PPP3CB;AKT2;KDR;AKT1;HRAS"
"Arginine biosynthesis","6/21",0.289152388696652,0.999996211618646,0,0,1.45851162790698,1.80972331841132,"ABHD14A-ACY1;ACY1;NOS3;GPT;GLUL;GLS"
"Progesterone-mediated oocyte maturation","24/99",0.290529522847312,0.999996211618646,0,0,1.16723026623073,1.44275506413072,"ANAPC13;HSP90AA1;HSP90AB1;PLK1;ARAF;PIK3R3;ADCY3;PIK3R1;PIK3CB;KIF22;ANAPC10;ADCY6;MAPK12;IGF1R;ANAPC11;RPS6KA3;MAPK11;CDC26;AKT2;CDC27;AKT1;PRKACB;CPEB2;ANAPC2"
"Sulfur metabolism","3/9",0.302901527164527,0.999996211618646,0,0,1.82291424587497,2.17719310718531,"MPST;TST;PAPSS2"
"Citrate cycle (TCA cycle)","8/30",0.310232591823563,0.999996211618646,0,0,1.3259444138923,1.55192905393763,"PC;SUCLA2;MDH2;IDH3G;IDH2;IDH3B;ACO2;DLD"
"Inositol phosphate metabolism","18/74",0.320852195368956,0.999996211618646,0,0,1.17222481343284,1.33255552522394,"MTMR2;TPI1;MTMR14;ITPK1;PTEN;PIK3CB;SYNJ2;MTMR6;ITPKC;MINPP1;IMPA2;INPP5E;INPP5J;PIK3C3;PIP5K1B;PI4KB;PLCD3;PLCB2"
"Peroxisome","20/83",0.324084992700028,0.999996211618646,0,0,1.15777466687406,1.30452199742293,"ABCD4;PEX16;ABCD3;ECI2;ECH1;IDH2;MPV17L2;HSD17B4;ACSL4;CROT;ACSL3;PEX13;PEX26;PRDX5;NUDT7;PEX3;PEX6;FAR1;ABCD1;NUDT12"
"Terpenoid backbone biosynthesis","6/22",0.33105561725587,0.999996211618646,0,0,1.36726744186047,1.51147162095416,"FNTA;PDSS1;MVD;RCE1;ZMPSTE24;PCYOX1"
"Notch signaling pathway","12/48",0.331056245365262,0.999996211618646,0,0,1.21549448843347,1.34368903648753,"JAG2;NCOR2;HDAC2;CREBBP;KAT2A;NOTCH1;SNW1;DVL1;DVL2;EP300;DVL3;RFNG"
"Insulin signaling pathway","32/137",0.332191420249557,0.999996211618646,0,0,1.11158945562315,1.22502038910022,"GSK3B;PYGB;ARAF;PIK3R3;PPP1R3A;PIK3R1;SLC2A4;PIK3CB;ELK1;PPP1CB;GYS1;PHKG1;AKT2;MKNK2;EIF4EBP1;FLOT1;AKT1;FLOT2;PRKACB;HRAS;SOCS4;MAP2K2;BAD;INSR;RPS6;PPP1CA;PPP1R3F;G6PC3;RPS6KB2;TRIP10;FBP1;RHOQ"
"RNA degradation","19/79",0.333522576288442,0.999996211618646,0,0,1.15483243915714,1.26805766334039,"ZCCHC7;BTG1;PNPT1;DIS3;PABPC4;PABPC5;TOB2;ENO3;EDC4;PAN2;EXOSC5;PFKL;LSM7;EXOSC10;CNOT7;XRN2;NUDT16;EXOSC3;CNOT8"
"Glycerophospholipid metabolism","23/97",0.337453399461209,0.999996211618646,0,0,1.13351969761029,1.23137402042817,"AGPAT5;DGKD;LPGAT1;PCYT2;CHKB;PNPLA7;LPCAT1;LCAT;PLA2G6;AGPAT1;LCLAT1;DGKZ;PLD3;AGPAT3;PISD;PGS1;GPAT4;GPD2;PEMT;CHPT1;PNPLA6;LPIN1;CDS2"
"Hippo signaling pathway","37/160",0.340427966022283,0.999996211618646,0,0,1.09720293970333,1.18229292507627,"GSK3B;WNT2B;SERPINE1;PPP2R2A;SAV1;STK3;GLI2;PPP1CB;CCND3;RASSF1;WNT11;CCND1;PPP2R1A;DVL1;DVL2;DVL3;TEAD2;YWHAH;TEAD3;SMAD2;FZD4;FZD6;AXIN1;WNT9B;FZD8;MPP5;FRMD1;BMP5;PPP1CA;BMP4;APC;DLG4;PARD3;PPP2R2D;SNAI2;BMPR1B;LLGL1"
"Fatty acid degradation","11/44",0.342241821731639,0.999996211618646,0,0,1.21544431509507,1.30324522989713,"ALDH3A2;ACADVL;ALDH2;ECI1;ECI2;ACSL4;ACADM;ACSL3;ACADS;CPT1B;ACADSB"
"Circadian rhythm","8/31",0.345840197806281,0.999996211618646,0,0,1.26821372933822,1.34656202893894,"PER2;PER1;PER3;CRY2;BHLHE41;RORC;CRY1;ARNTL"
"Small cell lung cancer","22/93",0.346896292402296,0.999996211618646,0,0,1.13000223563604,1.19636660346906,"RB1;ITGB1;LAMA5;ZBTB17;CDKN1A;CHUK;GADD45B;LAMB2;PTEN;PIK3R3;TRAF2;LAMB1;PIK3CB;PIK3R1;RXRB;CCND1;COL4A2;COL4A1;AKT2;AKT1;BIRC3;BCL2L1"
"Chronic myeloid leukemia","18/76",0.3664072194248,0.999996211618646,0,0,1.13165851775605,1.13619640357497,"RB1;STAT5A;STAT5B;CDKN1A;HDAC2;MAP2K2;CHUK;GADD45B;BAD;ARAF;PIK3R3;PIK3CB;PIK3R1;CCND1;AKT2;AKT1;HRAS;BCL2L1"
"Necroptosis","37/162",0.371746531750273,0.999996211618646,0,0,1.0795090185055,1.06822061775136,"RNF31;CAMK2B;PYGB;HSP90AB1;FAF1;VPS4A;SPATA2;TNFAIP3;PYCARD;SHARPIN;TRPM7;CAPN1;DNM1L;GLUL;STAT5A;STAT5B;IL33;HSP90AA1;PARP3;USP21;STAT1;STAT2;STAT3;TNFRSF10B;EIF2AK2;TNFRSF10A;TRAF2;TNFRSF1A;CHMP2B;CHMP4C;CHMP2A;RBCK1;SQSTM1;CHMP7;TLR3;FTL;BIRC3"
"Proximal tubule bicarbonate reclamation","6/23",0.373611530772925,0.999996211618646,0,0,1.28675786593707,1.26686292831894,"CA4;ATP1A4;SLC25A10;SLC38A3;GLS;AQP1"
"Phosphatidylinositol signaling system","23/99",0.377732036256331,0.999996211618646,0,0,1.1035489143124,1.07438237423312,"MTMR2;DGKD;MTMR14;ITPK1;PTEN;PIK3R3;PIK3R1;SYNJ2;PIK3CB;DGKZ;MTMR6;ITPKC;IMPA2;INPP5E;INPP5J;PIP5K1B;PIK3C3;PI4KB;IP6K1;PLCD3;PLCB2;IP6K2;CDS2"
"Adherens junction","17/72",0.377753104527653,0.999996211618646,0,0,1.12703957269124,1.09718932032128,"FARP2;SMAD2;CREBBP;ACTN1;INSR;CSNK2A2;ACTN4;NLK;BAIAP2;IGF1R;AFDN;PARD3;ERBB2;EP300;SNAI2;SSX2IP;NECTIN2"
"Phosphonate and phosphinate metabolism","2/6",0.382200755855196,0.999996211618646,0,0,1.82272304832714,1.75311192367579,"PCYT2;CHPT1"
"Vitamin B6 metabolism","2/6",0.382200755855196,0.999996211618646,0,0,1.82272304832714,1.75311192367579,"PNPO;AOX1"
"Vibrio cholerae infection","12/50",0.388420961947187,0.999996211618646,0,0,1.15137401024686,1.0888147643157,"ERO1A;ARF1;ATP6V0E1;KCNQ1;ADCY3;ATP6V1H;KDELR2;TCIRG1;ATP6V0D1;ATP6V0E2;PRKACB;ATP6V1F"
"Pantothenate and CoA biosynthesis","5/19",0.39020984329602,0.999996211618646,0,0,1.30202278539874,1.22529539619457,"GADL1;ENPP1;PPCDC;AASDHPPT;BCAT2"
"Adrenergic signaling in cardiomyocytes","33/145",0.390729094419091,0.999996211618646,0,0,1.07445003510414,1.00970454874148,"CAMK2B;ATF6B;ATP1A4;ADCY3;PPP2R2A;ADCY6;SLC9A1;PPP1CB;PLN;PPP2R1A;PPP2R5E;PPP2R3C;AKT2;AKT1;TNNI3;PRKACB;TPM2;TNNC1;TPM1;PPP2R5B;PPP2R5D;PPP2R3A;MAPK12;PPP1CA;MAPK11;KCNQ1;TNNT2;MYL3;PPP2R2D;PLCB2;RAPGEF3;ATF4;MYH7"
"Dilated cardiomyopathy (DCM)","21/91",0.399505069159716,0.999996211618646,0,0,1.09386231038506,1.00365020046448,"ITGB1;MYBPC3;ITGB4;TPM2;TNNC1;TPM1;ADCY3;ADCY6;PLN;DES;SGCA;SGCB;TNNT2;MYL3;LMNA;DAG1;TNNI3;ITGB6;EMD;PRKACB;MYH7"
"FoxO signaling pathway","30/132",0.401959798310322,0.999996211618646,0,0,1.07247014802179,0.977452724347205,"CDKN1A;ARAF;AGAP2;PTEN;PIK3R3;FOXO4;PIK3R1;SLC2A4;PIK3CB;NLK;IGF1R;CCND1;AKT2;S1PR1;AKT1;EP300;HRAS;SMAD2;GABARAPL1;CREBBP;MAP2K2;GADD45B;CHUK;PRMT1;INSR;PLK1;STAT3;MAPK12;MAPK11;G6PC3"
"Hepatitis C","35/155",0.405660561736195,0.999996211618646,0,0,1.06354873956138,0.959574644884085,"RB1;SCARB1;GSK3B;CDKN1A;RNASEL;CD81;ARAF;PIK3R3;PPP2R2A;PIK3R1;PIK3CB;TBK1;CCND1;PPP2R1A;AKT2;AKT1;HRAS;YWHAH;MAP2K2;CHUK;DDX58;BAD;STAT1;STAT2;STAT3;EIF2AK2;NR1H3;TRAF2;EIF2S1;TNFRSF1A;CLDN15;PSME3;OAS3;PPP2R2D;TLR3"
"Vitamin digestion and absorption","6/24",0.416284016935813,0.999996211618646,0,0,1.21519379844961,1.06498067771215,"SLC5A6;SCARB1;ABCC1;LMBRD1;TCN2;APOA1"
"Base excision repair","8/33",0.418189929670926,0.999996211618646,0,0,1.16660772452303,1.01707144761319,"POLE4;PARP3;MPG;NTHL1;POLD1;APEX1;POLD2;APEX2"
"Breast cancer","33/147",0.424813702913785,0.999996211618646,0,0,1.05546454481629,0.903588001550065,"RB1;GSK3B;CDKN1A;NOTCH1;WNT2B;ARAF;PTEN;LRP5;PIK3R3;PIK3R1;PIK3CB;IGF1R;FGF7;WNT11;CCND1;AKT2;DVL1;ERBB2;DVL2;AKT1;DVL3;HRAS;JAG2;MAP2K2;GADD45B;FZD4;FZD6;AXIN1;WNT9B;FZD8;APC;KIT;RPS6KB2"
"PPAR signaling pathway","17/74",0.425894581852035,0.999996211618646,0,0,1.08735524986399,0.928126669936226,"ILK;APOA1;NR1H3;ACSL4;ACSL3;CPT1B;RXRB;FADS2;FABP4;FABP6;PLIN4;OLR1;SLC27A6;ACADM;SLC27A5;PLIN5;PPARD"
"Central carbon metabolism in cancer","15/65",0.428340407214341,0.999996211618646,0,0,1.09373106501981,0.9273057257409,"G6PD;MAP2K2;PGAM2;PTEN;PIK3R3;PIK3CB;PIK3R1;HIF1A;GLS;PFKL;AKT2;KIT;ERBB2;AKT1;HRAS"
"Nucleotide excision repair","11/47",0.433153245352211,0.999996211618646,0,0,1.11394386237227,0.931996391512817,"POLE4;GTF2H2C;ERCC3;CCNH;RFC2;POLD1;POLD2;RPA2;RAD23A;GTF2H2;CUL4B"
"Taurine and hypotaurine metabolism","3/11",0.433314792706071,0.999996211618646,0,0,1.36701138740414,1.14321906206297,"GGT5;GGT7;GADL1"
"Apoptosis","32/143",0.434844265853037,0.999996211618646,0,0,1.05109882929256,0.875320756730563,"HTRA2;PIK3R3;PIK3R1;PIK3CB;PIDD1;CTSO;CTSL;AKT2;CTSK;LMNA;AKT1;CAPN1;CTSF;CTSD;HRAS;SPTAN1;CTSC;PARP3;MAP2K2;GADD45B;CHUK;BAD;TNFRSF10B;TNFRSF10A;TRAF2;EIF2S1;TNFRSF1A;ERN1;DDIT3;ATF4;BCL2L1;BIRC3"
"Prolactin signaling pathway","16/70",0.439589323770715,0.999996211618646,0,0,1.08020374687041,0.887834952897254,"STAT5A;GSK3B;STAT5B;MAP2K2;STAT1;STAT3;PIK3R3;PIK3CB;PIK3R1;MAPK12;MAPK11;CCND1;AKT2;AKT1;HRAS;SOCS4"
"Signaling pathways regulating pluripotency of stem cells","31/139",0.445196246574406,0.999996211618646,0,0,1.04649339397877,0.846864408842021,"GSK3B;WNT2B;PIK3R3;PIK3R1;PIK3CB;IGF1R;WNT11;AKT2;DVL1;DVL2;AKT1;DVL3;JARID2;HRAS;SMAD2;PCGF6;MAP2K2;FZD4;PCGF2;FZD6;STAT3;AXIN1;WNT9B;FZD8;MAPK12;BMP4;MAPK11;APC;ID3;TCF3;BMPR1B"
"Amino sugar and nucleotide sugar metabolism","11/48",0.463506396798031,0.999996211618646,0,0,1.08376805210333,0.833347287931206,"GMPPB;GPI;CYB5R4;CMAS;CYB5R3;UGP2;NAGK;GNPDA2;AMDHD2;GFPT2;RENBP"
"Human papillomavirus infection","72/330",0.470799303907657,0.999996211618646,0,0,1.01741165097604,0.766439985929702,"RB1;ITGB1;GSK3B;CDKN1A;WNT2B;ITGB4;PTEN;PPP2R2A;PIK3CB;TCIRG1;CCND3;TBK1;CCND1;PPP2R1A;PPP2R5E;AKT2;AKT1;EP300;ITGB6;PRKACB;HRAS;ATP6V0E1;MAP2K2;CHUK;WNT9B;AXIN1;PPP2R5B;PPP2R5D;TNFRSF1A;COL4A2;COL4A1;PARD3;COL6A2;COL6A1;ATP6V0D1;LLGL1;TLR3;LAMA5;HDAC2;NOTCH1;UBR4;PIK3R3;PIK3R1;RFNG;WNT11;PPP2R3C;DVL1;EIF4EBP1;DVL2;ATP6V1H;DVL3;ATP6V0E2;ATP6V1F;BCAP31;CREBBP;FZD4;STAT1;BAD;LAMB2;STAT2;FZD6;FZD8;EIF2AK2;LAMB1;PPP2R3A;MPP5;APC;PSMC1;TADA3;PPP2R2D;RPS6KB2;ATR"
"Pentose phosphate pathway","7/30",0.475639483140161,0.999996211618646,0,0,1.10942888639421,0.824411169361413,"GPI;G6PD;PFKL;H6PD;TALDO1;PGLS;FBP1"
"Carbohydrate digestion and absorption","10/44",0.482044364945323,0.999996211618646,0,0,1.07213276372001,0.782355782989224,"G6PC3;AKT2;ATP1A4;PIK3R3;AKT1;PIK3CB;PIK3R1;SLC37A4;TAS1R3;PLCB2"
"Melanoma","16/72",0.489285483771681,0.999996211618646,0,0,1.04149184149184,0.744467896349827,"RB1;CDKN1A;MAP2K2;GADD45B;BAD;ARAF;PTEN;PIK3R3;PIK3CB;PIK3R1;IGF1R;FGF7;CCND1;AKT2;AKT1;HRAS"
